"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","log_quality","qualityPredicted","qualityPredictedRaw"
"235",8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,"0","0",0.00175918276629514
"236",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,"0","0",0.00896406760152111
"237",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,"0","0",0.00896406760152111
"238",7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6,"0","0",0.0102811870637755
"239",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,"0","0",0.00896406760152111
"240",8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,"0","0",0.00175918276629514
"241",8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5,"0","0",0.0430605035403397
"242",12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,"0","0",0.197697860309836
"243",7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6,"0","0",0.019413187004245
"244",15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,"1","0",0.112931860114858
"245",15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,"1","0",0.112931860114858
"246",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,"0","0",0.0502627824092483
"247",7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5,"0","0",0.0102745513990533
"248",8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5,"0","0",0.00981371151924927
"249",7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6,"0","0",0.0232567324471233
"250",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,"0","0",0.0502627824092483
"251",10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6,"0","0",0.133123439443507
"252",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,"0","0",0.0335427031783616
"253",11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5,"0","0",0.104840828682899
"254",7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5,"0","0",0.00827562096515968
"255",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,"0","0",0.0335427031783616
"256",8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5,"0","0",0.0151201400031458
"257",9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5,"0","0",0.0399556367715079
"258",6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,"0","0",0.0105175948224036
"259",7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5,"0","0",0.166309115343433
"260",10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,"1","0",0.218284125636081
"261",7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5,"0","0",0.0493367154126472
"262",7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4,"0","0",0.00332476874784035
"263",8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,"0","0",0.0369525993899999
"264",7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5,"0","0",0.0441496817075664
"265",12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5,"0","0",0.148868286310734
"266",11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7,"1","0",0.171492471841978
"267",8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4,"0","0",0.0104931331840923
"268",7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8,"1","1",0.73685150240711
"269",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,"0","0",0.0444746030583092
"270",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,"0","0",0.333925085786942
"271",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,"0","0",0.0831130957985446
"272",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,"0","0",0.333925085786942
"273",10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5,"0","0",0.12096277806579
"274",8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5,"0","0",0.0109371740354314
"275",7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5,"0","0",0.0199638056390241
"276",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,"0","0",0.0831130957985446
"277",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6,"0","0",0.0444746030583092
"278",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,"0","0",0.333925085786942
"279",10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,"1","1",0.700699056435595
"280",8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,"1","0",0.150275227313258
"281",11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,"0","0",0.0977262916206676
"282",7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,"1","0",0.271779626060826
"283",7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5,"0","0",0.0152538036306983
"284",8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,"1","0",0.150275227313258
"285",9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,"0","0",0.032497332844909
"286",9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,"0","0",0.032497332844909
"287",12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6,"0","0",0.10243342729937
"288",7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6,"0","0",0.107588017326621
"289",8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,"1","0",0.129724056904102
"290",11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5,"0","0",0.0653803489096098
"291",8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,"1","0",0.129724056904102
"292",11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,"0","0",0.259983966200319
"293",10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6,"0","0",0.0520147418079302
"294",6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6,"0","0",0.0825486500931318
"295",13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6,"0","0",0.0844060146450815
"296",10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5,"0","0",0.0293520798826128
"297",10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5,"0","0",0.00819385133662458
"298",7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5,"0","0",0.023854015543363
"299",7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5,"0","0",0.0289311786518753
"300",6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5,"0","0",0.0192283319570336
"301",7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6,"0","0",0.0727516174230956
"302",11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6,"0","0",0.175578340634971
"303",8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5,"0","0",0.0253272662690514
"304",7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5,"0","0",0.011275655968753
"305",8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5,"0","0",0.00863025965302742
"306",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,"0","0",0.0187764525540222
"307",7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5,"0","0",0.0119390427975928
"308",10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,"0","0",0.0402499549569231
"309",10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6,"0","0",0.0380586129285273
"310",7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6,"0","0",0.0521624790705945
"311",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,"0","0",0.0187764525540222
"312",7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6,"0","0",0.0182508712987901
"313",9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6,"0","0",0.0336948907565319
"314",8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5,"0","0",0.0227884099837301
"315",7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,"0","0",0.215247274413475
"316",7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6,"0","0",0.209274009984295
"317",9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5,"0","0",0.0422676373386433
"318",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,"0","0",0.0234701068434465
"319",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,"1","0",0.121864835293174
"320",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,"0","0",0.0234701068434465
"321",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7,"1","0",0.121864835293174
"322",9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5,"0","0",0.0216251150148915
"323",7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5,"0","0",0.0143246160184179
"324",10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6,"0","0",0.0236175166042381
"325",10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,"0","0",0.0258527138860616
"326",10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,"0","0",0.0258527138860616
"327",11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7,"1","0",0.205914841414952
"328",10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,"0","0",0.323590206847929
"329",13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6,"0","0",0.0952769610466583
"330",10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5,"0","0",0.0328603485240805
"331",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6,"0","0",0.541491191063373
"332",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6,"0","0",0.541491191063373
"333",8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6,"0","0",0.0148376998237073
"334",8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5,"0","0",0.0723785185327503
"335",7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,"1","0",0.160652377791313
"336",11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7,"1","0",0.253604935320152
"337",8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6,"0","0",0.493850635390133
"338",7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5,"0","0",0.0833572267245109
"339",12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6,"0","0",0.375942497017484
"340",12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7,"1","0",0.400806760993509
"341",12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6,"0","0",0.151046744385216
"342",10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6,"0","0",0.320620776361876
"343",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,"0","0",0.0796039505973279
"344",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,"0","0",0.0796039505973279
"345",11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6,"0","0",0.0979098319970163
"346",7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5,"0","0",0.031270264128106
"347",6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7,"1","0",0.205183728873363
"348",13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6,"0","0",0.454013409246378
"349",9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,"0","0",0.0744073480942606
"350",9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6,"0","0",0.0143639356241414
"351",10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6,"0","0",0.0507318526688049
"352",9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6,"0","0",0.0127612668988902
"353",7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5,"0","0",0.0153468241844274
"354",13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5,"0","0",0.559692530453901
"355",6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6,"0","0",0.502889687625974
"356",6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6,"0","0",0.213660756531127
"357",11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5,"0","0",0.271853681146789
"358",10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7,"1","0",0.340945580306647
"359",11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7,"1","0",0.147795518344845
"360",12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,"0","0",0.0699643379845787
"361",8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5,"0","0",0.0135760349327581
"362",8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,6,"0","0",0.101152592415495
"363",11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5,"0","0",0.0282220421526923
"364",12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5,"0","0",0.116294941996638
"365",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,"1","0",0.0374941393302294
"366",10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6,"0","0",0.477184399662653
"367",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7,"1","0",0.0374941393302294
"368",10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5,"0","0",0.014940993768068
"369",10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5,"0","0",0.0508952776535492
"370",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,"1","1",0.77913648183635
"371",6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5,"0","0",0.0208778861942974
"372",7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6,"0","0",0.0682711738718657
"373",9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6,"0","0",0.395088476886369
"374",7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5,"0","0",0.0173370874048658
"375",14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6,"0","0",0.202876435248193
"376",11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7,"1","0",0.298179348116475
"377",11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6,"0","0",0.364250191002668
"378",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,"1","1",0.77913648183635
"379",11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6,"0","1",0.671073606395657
"380",8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6,"0","0",0.155003409267971
"381",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,"0","0",0.102123907201599
"382",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,"0","0",0.0978180234281552
"383",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,"0","0",0.102123907201599
"384",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,"0","0",0.102123907201599
"385",7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5,"0","0",0.0270238971504085
"386",7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6,"0","0",0.0283865202644274
"387",7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6,"0","0",0.0238939656184556
"388",8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6,"0","0",0.0129851399848018
"389",7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6,"0","0",0.0331459896127489
"390",9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7,"1","0",0.0883639678319572
"391",5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8,"1","0",0.253801826502875
"392",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,"0","0",0.0978180234281552
"393",9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5,"0","0",0.0359669649559711
"394",8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,5,"0","0",0.00772246909029251
"395",12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5,"0","0",0.0241724166410422
"396",12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7,"1","0",0.615981513577392
"397",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,"0","0",0.0124903772390665
"398",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,"0","0",0.0878827062397984
"399",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,"0","0",0.0878827062397984
"400",8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5,"0","0",0.0070434591048411
"401",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,"0","0",0.0124903772390665
"402",7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,6,"0","0",0.165352471533974
"403",12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6,"0","0",0.0769627669467058
"404",11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,"0","0",0.0503214787724702
"405",7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5,"0","0",0.00833001253500315
"406",8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6,"0","0",0.143980501146215
"407",9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6,"0","0",0.129002851769918
"408",12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7,"1","0",0.14789873749984
"409",10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6,"0","0",0.298358255274551
"410",12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4,"0","0",0.0319533757732428
"411",9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6,"0","0",0.0371201434887469
"412",9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5,"0","0",0.0342250254757248
"413",7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5,"0","0",0.0091068224668605
"414",9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7,"1","0",0.402928200753758
"415",8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,5,"0","0",0.0250714710763273
"416",8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,5,"0","0",0.0284169361989547
"417",10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6,"0","0",0.241370070485874
"418",7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5,"0","0",0.0375926893060408
"419",11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6,"0","0",0.144925407094294
"420",6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,"0","0",0.0158525597618614
"421",9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7,"1","0",0.23154366095017
"422",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,"1","0",0.0898414325361499
"423",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,"0","0",0.0105279129327125
"424",10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,"1","0",0.445810908348482
"425",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,"0","0",0.0105279129327125
"426",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,"1","0",0.0898414325361499
"427",6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6,"0","0",0.0636542370434368
"428",9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6,"0","0",0.0223932663239244
"429",9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5,"0","0",0.0200720343334354
"430",12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,6,"0","0",0.0158787725371178
"431",10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,"1","0",0.445810908348482
"432",7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5,"0","0",0.0144997563577797
"433",11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6,"0","0",0.59884739740059
"434",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,"0","0",0.0315349758311535
"435",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,"0","0",0.112250275929319
"436",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,"0","0",0.0315349758311535
"437",8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6,"0","0",0.0237445613035325
"438",11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6,"0","0",0.179047597046913
"439",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,"0","0",0.112250275929319
"440",7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5,"0","0",0.0132662645359099
"441",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8,"1","0",0.126825701787803
"442",11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6,"0","0",0.238734861614412
"443",15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7,"1","0",0.07868603330625
"444",10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7,"1","0",0.239506152316371
"445",5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7,"1","0",0.437618213737938
"446",9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6,"0","0",0.0164503039784375
"447",12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5,"0","0",0.147793828295021
"448",9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5,"0","0",0.183402344203407
"449",8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6,"0","0",0.0420097188191518
"450",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6,"0","0",0.141478607883732
"451",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6,"0","0",0.141478607883732
"452",8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6,"0","0",0.094078519173846
"453",6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6,"0","0",0.0365014222854723
"454",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,"1","0",0.307881530905911
"455",7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5,"0","0",0.31536055559117
"456",11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8,"1","0",0.514146381650109
"457",8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5,"0","0",0.0381666857887268
"458",9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5,"0","0",0.016289657515197
"459",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,"1","0",0.307881530905911
"460",11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3,"0","0",0.0107615343865638
"461",9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6,"0","0",0.187317598753011
"462",8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5,"0","0",0.0138957103656873
"463",11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5,"0","0",0.438351434656054
"464",8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5,"0","0",0.00695339308975737
"465",11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6,"0","0",0.0538391593203978
"466",10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5,"0","0",0.152850185408377
"467",10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6,"0","0",0.218350264893773
"468",8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6,"0","1",0.831233257547933
"469",11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6,"0","0",0.0368478326366897
"470",8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5,"0","0",0.00902069563684047
"471",13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5,"0","0",0.153173935025779
